# ###########################################################
# Power Spectrum Measurement 2019-05-18 05:27:00.295446
# ###########################################################
# Galaxy Catalog: Patchy-Mocks-DR12CMASSLOWZTOT-N-V6S-Portsmouth-mass_0001.dat
# Random Catalog: Random-DR12CMASSLOWZTOT-N-V6S-x50.dat
# ###########################################################
# Omega_m0 = 0.307115
# (n_x, n_y, n_z) = (700, 700, 700)
# (L_x, L_y, L_z) = (3500, 3500, 3500)
# (kx_Ny, ky_Ny, kz_Ny) = (0.63, 0.63, 0.63)
# (n_kbins, dk) = (120, 0.005)
# P_0 = 10000.0
# z_eff = 0.61
# n(z_eff) = 0.00020295291640096827
# Total Volume = 2793308269.42 [h^-1 Mpc]^3
# alpha = 0.01994901
# Normalisation = 9.06169239
# Shot Noise = 6851.09
# Grid Interpolation Scheme: tsc
# Interlacing = True
# ###########################################################
# k_central, k_mean, n_modes, P0, P2, P4
0.0025 0.00361912 80 32219.20 -11938.83 -11622.28
0.0075 0.00803206 658 51368.67 3646.42 -2185.74
0.0125 0.01288816 1730 64644.66 8402.56 -5911.34
0.0175 0.01772425 3274 69258.58 22253.64 -8064.89
0.0225 0.02257809 5380 66937.37 20104.79 -273.58
0.0275 0.02758958 8426 53381.29 21532.16 -3063.56
0.0325 0.03264067 11554 48375.02 21829.73 -6029.87
0.0375 0.03761587 15194 42472.42 17276.51 -37.63
0.0425 0.04258009 19570 39027.87 13244.64 3619.89
0.0475 0.04756993 24580 34893.30 19829.09 1533.68
0.0525 0.05257535 30026 35446.33 18817.62 2097.61
0.0575 0.05757171 35890 32725.53 16850.86 3549.55
0.0625 0.06256872 42530 28714.83 14436.18 3052.79
0.0675 0.06755007 49156 27179.89 11050.16 2493.03
0.0725 0.07254026 57298 25274.64 10193.03 1941.06
0.0775 0.07753418 64946 23560.10 10105.05 861.12
0.0825 0.08252029 73858 22009.73 9616.19 1456.50
0.0875 0.08752696 83474 19731.51 9045.86 2454.19
0.0925 0.09252701 92668 18451.35 7725.22 1192.36
0.0975 0.09753763 104002 16922.16 5860.48 636.84
0.1025 0.10255124 114050 14955.84 5521.79 591.25
0.1075 0.10754034 125194 14244.65 4847.63 1131.73
0.1125 0.11252498 137090 13593.56 3977.60 1694.71
0.1175 0.11752434 150364 12911.90 4271.34 709.83
0.1225 0.12252340 162538 12600.71 4807.89 211.74
0.1275 0.12752508 177170 11948.30 4476.91 808.01
0.1325 0.13253720 191074 11513.13 5018.44 631.21
0.1375 0.13752557 204172 11320.36 4498.31 868.71
0.1425 0.14251472 220850 10594.03 4361.77 755.68
0.1475 0.14752226 236698 10035.27 3681.54 711.43
0.1525 0.15252839 252842 9461.29 3245.90 912.64
0.1575 0.15752668 269122 8652.82 3665.99 1089.32
0.1625 0.16251651 286096 8424.40 3249.82 768.06
0.1675 0.16751517 305258 8060.40 3124.30 375.64
0.1725 0.17251819 323050 7596.48 3056.57 276.23
0.1775 0.17752388 343130 7398.34 2430.23 224.31
0.1825 0.18252663 361330 7155.64 2122.05 84.65
0.1875 0.18752025 381412 6987.68 2128.29 135.90
0.1925 0.19252085 403034 6718.36 2432.93 72.67
0.1975 0.19752468 423778 6550.61 2348.33 309.43
0.2025 0.20252047 444626 6328.73 2187.74 499.55
0.2075 0.20751535 467548 6088.65 1984.03 334.77
0.2125 0.21251464 490402 5817.35 1791.02 263.47
0.2175 0.21751900 514730 5496.18 1748.54 204.25
0.2225 0.22251890 536794 5264.37 1648.27 246.17
0.2275 0.22751514 562298 5256.30 1645.76 268.34
0.2325 0.23251327 586588 4992.30 1723.37 209.94
0.2375 0.23751199 612754 4914.58 1386.10 145.81
0.2425 0.24251076 638258 4774.31 1222.12 266.74
0.2475 0.24750571 664402 4615.79 1359.06 91.64
0.2525 0.25250915 694306 4473.31 1371.66 248.04
0.2575 0.25751324 719492 4340.47 1281.11 285.46
0.2625 0.26251732 750202 4285.08 1122.11 356.73
0.2675 0.26751816 775634 4113.43 1107.39 194.37
0.2725 0.27251781 808042 3895.40 995.38 218.72
0.2775 0.27751825 835108 3795.38 967.20 13.14
0.2825 0.28251090 865538 3751.16 959.15 -41.90
0.2875 0.28751170 899194 3682.85 861.82 -1.31
0.2925 0.29251556 929162 3579.19 971.98 -61.60
0.2975 0.29751844 962506 3482.99 804.58 128.88
0.3025 0.30251777 992524 3345.86 729.06 147.35
0.3075 0.30751517 1027202 3258.39 661.05 132.63
0.3125 0.31251931 1062250 3124.39 798.67 -14.82
0.3175 0.31751805 1092770 3060.27 715.85 229.86
0.3225 0.32251336 1129666 2976.33 844.90 178.74
0.3275 0.32751002 1163368 2974.32 658.32 39.22
0.3325 0.33251007 1202186 2914.61 571.75 17.52
0.3375 0.33751396 1237642 2856.52 578.90 291.37
0.3425 0.34251313 1273130 2785.34 584.81 232.93
0.3475 0.34751352 1312732 2733.05 525.20 30.21
0.3525 0.35251605 1349602 2634.31 551.71 30.16
