# ###########################################################
# Power Spectrum Measurement 2019-05-29 11:27:51.143275
# ###########################################################
# Galaxy Catalog: Patchy-Mocks-DR12NGC-COMPSAM_V6C_0001.dat
# Random Catalog: Patchy-Mocks-Randoms-DR12NGC-COMPSAM_V6C_x50.dat
# ###########################################################
# Omega_m0 = 0.307115
# (n_x, n_y, n_z) = (700, 700, 700)
# (L_x, L_y, L_z) = (3500, 3500, 3500)
# (kx_Ny, ky_Ny, kz_Ny) = (0.63, 0.63, 0.63)
# (n_kbins, dk) = (120, 0.005)
# P_0 = 10000.0
# z_eff = 0.61
# n(z_eff) = 0.0002068020341110736
# Total Volume = 2793308269.42 [h^-1 Mpc]^3
# alpha = 0.01995435
# Normalisation = 9.06411649
# Shot Noise = 6856.99
# Grid Interpolation Scheme: tsc
# Interlacing = True
# ###########################################################
# k_central, k_mean, n_modes, P0, P2, P4
0.0025 0.00361912 80 28086.10 -15947.24 -14102.26
0.0075 0.00803206 658 51421.13 3267.96 -102.39
0.0125 0.01288816 1730 60871.40 8133.36 -1750.45
0.0175 0.01772425 3274 66636.18 20809.12 269.61
0.0225 0.02257809 5380 68345.32 19535.54 -4593.28
0.0275 0.02758958 8426 53189.56 23630.89 -8363.74
0.0325 0.03264067 11554 47473.79 22219.02 -6574.55
0.0375 0.03761587 15194 42290.94 18392.63 -1409.08
0.0425 0.04258009 19570 37976.40 13815.12 1305.13
0.0475 0.04756993 24580 34882.98 17219.40 1875.70
0.0525 0.05257535 30026 35605.86 17965.58 1653.19
0.0575 0.05757171 35890 32511.91 15632.73 2502.66
0.0625 0.06256872 42530 28596.84 13898.08 1615.75
0.0675 0.06755007 49156 26861.05 10689.69 3062.53
0.0725 0.07254026 57298 25131.09 9581.19 1888.02
0.0775 0.07753418 64946 23106.68 9077.78 374.63
0.0825 0.08252029 73858 21576.40 8935.99 329.83
0.0875 0.08752696 83474 19348.02 8195.42 2070.91
0.0925 0.09252701 92668 17767.44 6694.40 1252.93
0.0975 0.09753763 104002 16549.12 5137.16 651.81
0.1025 0.10255124 114050 14695.54 4455.92 -0.90
0.1075 0.10754034 125194 13764.94 4123.48 324.19
0.1125 0.11252498 137090 13544.59 3511.41 1282.85
0.1175 0.11752434 150364 12577.49 3339.55 1079.68
0.1225 0.12252340 162538 12269.69 3453.39 446.74
0.1275 0.12752508 177170 11800.43 4097.71 749.26
0.1325 0.13253720 191074 11366.16 4367.40 812.46
0.1375 0.13752557 204172 10675.22 3716.32 940.96
0.1425 0.14251472 220850 10105.08 3284.07 1030.34
0.1475 0.14752226 236698 9647.22 3132.74 616.93
0.1525 0.15252839 252842 9133.72 2742.78 787.70
0.1575 0.15752668 269122 8468.25 2712.64 842.57
0.1625 0.16251651 286096 8062.36 2306.04 619.57
0.1675 0.16751517 305258 7684.37 2423.57 403.07
0.1725 0.17251819 323050 7228.75 2237.34 294.01
0.1775 0.17752388 343130 6953.86 1825.23 254.32
0.1825 0.18252663 361330 6839.58 1617.94 428.22
0.1875 0.18752025 381412 6591.61 1405.89 488.60
0.1925 0.19252085 403034 6324.86 1534.69 119.05
0.1975 0.19752468 423778 6094.45 1736.46 16.37
0.2025 0.20252047 444626 5867.26 1442.60 352.93
0.2075 0.20751535 467548 5642.10 1230.55 327.71
0.2125 0.21251464 490402 5450.40 900.67 335.45
0.2175 0.21751900 514730 5263.39 909.84 105.76
0.2225 0.22251890 536794 4927.18 984.56 -0.69
0.2275 0.22751514 562298 4785.92 813.31 57.60
0.2325 0.23251327 586588 4585.09 942.57 20.52
0.2375 0.23751199 612754 4563.07 555.66 227.31
0.2425 0.24251076 638258 4416.34 546.74 179.17
0.2475 0.24750571 664402 4248.09 658.00 80.19
0.2525 0.25250915 694306 4103.70 532.64 395.24
0.2575 0.25751324 719492 3925.51 535.64 452.62
0.2625 0.26251732 750202 3829.82 384.13 343.22
0.2675 0.26751816 775634 3704.53 308.97 63.50
0.2725 0.27251781 808042 3574.56 272.17 93.70
0.2775 0.27751825 835108 3429.38 331.67 26.30
0.2825 0.28251090 865538 3377.65 230.46 -1.45
0.2875 0.28751170 899194 3295.38 176.18 134.16
0.2925 0.29251556 929162 3243.52 286.40 117.19
0.2975 0.29751844 962506 3078.61 275.20 239.89
0.3025 0.30251777 992524 2983.89 71.58 319.09
0.3075 0.30751517 1027202 2907.17 8.06 336.34
0.3125 0.31251931 1062250 2783.20 113.45 290.59
0.3175 0.31751805 1092770 2712.28 30.45 344.50
0.3225 0.32251336 1129666 2691.02 51.18 215.20
0.3275 0.32751002 1163368 2682.31 -12.46 238.12
0.3325 0.33251007 1202186 2578.34 -20.96 91.14
0.3375 0.33751396 1237642 2558.48 -58.28 209.82
0.3425 0.34251313 1273130 2494.95 -115.05 336.77
0.3475 0.34751352 1312732 2408.37 -134.96 281.53
0.3525 0.35251605 1349602 2273.55 -90.52 206.27
0.3575 0.35751650 1388354 2182.40 -228.83 202.52
0.3625 0.36251515 1426258 2181.67 -268.08 141.33
